geography,geography_id,state_name,district_name,area,perimeter,max_distance_from_center,id
district,2002.0,Kansas,2.0,3.864467828,0.18819501,0.029875708,306
district,2003.0,Kansas,3.0,0.216014635,0.037316449,0.00652056,307
state,19.0,Iowa,,15.85582943,0.259354396,0.046829538,308
district,1903.0,Iowa,3.0,2.449247482,0.12925255,0.02047274,309
district,1902.0,Iowa,2.0,3.470449716,0.184306127,0.029856433,310
district,1904.0,Iowa,4.0,6.494809124,0.213474149,0.034203916,311
district,1901.0,Iowa,1.0,3.452062205,0.191177669,0.026509898,312
state,18.0,Indiana,,9.869400895,0.230595717,0.043862679,313
district,1803.0,Indiana,3.0,1.178809478,0.081803133,0.014946382,314
district,1802.0,Indiana,2.0,1.10433233,0.084043191,0.012965125,315
district,1805.0,Indiana,5.0,0.528756854,0.064954248,0.009969845,316
district,1808.0,Indiana,8.0,1.979052536,0.186365795,0.025104711,317
district,1804.0,Indiana,4.0,1.762883384,0.110550499,0.017042667,318
district,1809.0,Indiana,9.0,1.203995734,0.106187291,0.015285736,319
district,1806.0,Indiana,6.0,1.707102781,0.108448715,0.016277942,320
district,1801.0,Indiana,1.0,0.392163908,0.047523716,0.008369291,321
district,1807.0,Indiana,7.0,0.087147535,0.021416796,0.003316955,322
state,17.0,Illinois,,15.41371956,0.29159878,0.053821678,323
district,1717.0,Illinois,17.0,1.965455049,0.185211078,0.022023695,324
district,1712.0,Illinois,12.0,1.366393003,0.144609511,0.019364167,325
district,1718.0,Illinois,18.0,2.926704723,0.202475389,0.022454605,326
district,1716.0,Illinois,16.0,2.220871495,0.164382383,0.023026402,327
district,1713.0,Illinois,13.0,1.579935367,0.162499009,0.021601216,328
district,1714.0,Illinois,14.0,0.461541999,0.085999613,0.010751077,329
district,1715.0,Illinois,15.0,4.016048913,0.252878001,0.032223343,330
district,1706.0,Illinois,6.0,0.111715723,0.047196378,0.005766341,331
district,1710.0,Illinois,10.0,0.088074637,0.035066099,0.004384875,332
district,1703.0,Illinois,3.0,0.069996159,0.030877109,0.004598937,333
district,1705.0,Illinois,5.0,0.025649806,0.023507378,0.002689624,334
district,1711.0,Illinois,11.0,0.07942169,0.04208936,0.00420539,335
district,1708.0,Illinois,8.0,0.059025458,0.028359765,0.003379335,336
district,1702.0,Illinois,2.0,0.302235069,0.050639743,0.009939299,337
district,1701.0,Illinois,1.0,0.074786183,0.039751413,0.006147581,338
district,1707.0,Illinois,7.0,0.017923961,0.01931525,0.002444029,339
district,1704.0,Illinois,4.0,0.015297174,0.026222104,0.002146941,340
district,1709.0,Illinois,9.0,0.028122077,0.021683962,0.002820705,341
state,16.0,Idaho,,24.45907547,0.410028113,0.085301968,342
district,1601.0,Idaho,1.0,11.81559879,0.450363063,0.064580424,343
district,1602.0,Idaho,2.0,12.4965548,0.359468695,0.039827393,344
state,15.0,Hawaii,,1.413001019,0.203068914,0.069465382,345
district,1502.0,Hawaii,2.0,2.37245258,0.424518004,0.348060691,346
district,1501.0,Hawaii,1.0,0.086220434,0.029252315,0.004841587,347
state,13.0,Georgia,,14.59538121,0.331404768,0.051217458,348
district,1302.0,Georgia,2.0,2.409227604,0.163625288,0.022354989,349
district,1313.0,Georgia,13.0,0.182948017,0.06075922,0.007214635,350
district,1301.0,Georgia,1.0,2.202329466,0.184537349,0.02185058,351
district,1303.0,Georgia,3.0,0.982727524,0.107239408,0.012546373,352
district,1304.0,Georgia,4.0,0.12685838,0.036547732,0.004501903,353
district,1314.0,Georgia,14.0,0.9240111,0.098648241,0.014066902,354
district,1309.0,Georgia,9.0,1.363457182,0.120687126,0.018617458,355
district,1310.0,Georgia,10.0,1.82654435,0.151515449,0.017331601,356
district,1308.0,Georgia,8.0,2.187032292,0.210088735,0.026306976,357
district,1306.0,Georgia,6.0,0.075249733,0.031097587,0.003894283,358
district,1311.0,Georgia,11.0,0.277357847,0.053827732,0.007410408,359
district,1312.0,Georgia,12.0,2.063418767,0.196107661,0.022071032,360
district,1307.0,Georgia,7.0,0.101826641,0.035495023,0.004433,361
district,1305.0,Georgia,5.0,0.068296473,0.023113157,0.00346561,362
state,12.0,Florida,,13.39022936,0.643768983,0.087238348,363
district,1214.0,Florida,14.0,0.124231593,0.040942923,0.006599795,364
district,1212.0,Florida,12.0,0.252017074,0.045446436,0.007381323,365
district,1213.0,Florida,13.0,0.100281472,0.028982636,0.004589185,366
district,1206.0,Florida,6.0,0.768721609,0.105839693,0.015496259,367
district,1217.0,Florida,17.0,1.681143941,0.127082818,0.015610833,368
district,1219.0,Florida,19.0,0.317995793,0.064796007,0.01231266,369
district,1205.0,Florida,5.0,0.373312846,0.173006405,0.019748879,370
district,1210.0,Florida,10.0,0.333447484,0.075159995,0.008887902,371
district,1202.0,Florida,2.0,2.446775212,0.154354794,0.023290407,372
district,1204.0,Florida,4.0,0.515313883,0.106718081,0.010288764,373
district,1215.0,Florida,15.0,0.208906857,0.051020319,0.006839332,374
district,1209.0,Florida,9.0,0.454279705,0.06909953,0.009635922,375
district,1211.0,Florida,11.0,0.695635112,0.085426169,0.011138683,376
district,1201.0,Florida,1.0,1.16227617,0.100299062,0.017127889,377
